state,seat,undi_keluar_peti,undi_dalam_peti,undi_tak_kembali,undi_tolak,majoriti,peratus_keluar,undi_rosak,pengundi_jumlah,pengundi_tidak_hadir,rosak_vs_keseluruhan,rosak_vs_majoriti,tidakhadir_vs_majoriti
Johor,P.149 Sri Gading,39899,39818,81,673,5761,89.0,754,44830,4931,1.8897716734755259,13.088005554591216,85.59277903141816
Johor,P.150 Batu Pahat,77202,77047,155,1445,1524,87.5,1600,88230,11028,2.072485168778011,104.98687664041995,723.6220472440945
Johor,P.151 Simpang Renggam,34754,34670,84,868,5706,86.6,952,40131,5377,2.739253035621799,16.684192078513846,94.2341395022783
Johor,P.152 Kluang,75262,75081,181,1292,7359,86.8,1473,86707,11445,1.9571629773325185,20.016306563391765,155.52384834896046
Johor,P.153 Sembrong,35910,35860,50,809,10631,86.3,859,41610,5700,2.3920913394597605,8.080142978082964,53.61678111184273
Johor,P.154 Mersing,37393,37299,94,678,15747,84.0,772,44515,7122,2.06455753750702,4.902521115133041,45.227662411887984
Johor,P.155 Tenggara,34946,34876,70,676,17196,88.0,746,39711,4765,2.1347221427345047,4.338218190276809,27.70993254245173
Johor,P.156 Kota Tinggi,36943,36868,75,696,24574,88.2,771,41885,4942,2.0869988901821723,3.1374623585903803,20.11068609099048
Johor,P.157 Pengerang,33067,32969,98,698,22508,87.0,796,38008,4941,2.407233798046391,3.536520348320597,21.952194775191046
Johor,P.158 Tebrau,79835,79754,81,1551,1767,88.2,1632,90515,10680,2.044216195904052,92.35993208828522,604.4142614601019
Johor,P.159 Pasir Gudang,88550,88437,113,1704,935,87.6,1817,101084,12534,2.051948051948052,194.33155080213905,1340.5347593582887
Johor,P.160 Johor Bahru,79965,79807,158,1284,10495,83.0,1442,96343,16378,1.8032889389107736,13.739876131491185,156.0552644116246
Johor,P.161 Pulai,85924,85763,161,1487,3226,85.5,1648,100495,14571,1.9179740235557006,51.08493490390577,451.673899566026
Johor,P.162 Iskandar Puteri,95068,94865,203,1059,14762,89.1,1262,106698,11630,1.3274708629612488,8.548977103373527,78.78336268798266
Johor,P.163 Kulai,75015,74896,119,1432,13450,89.3,1551,84003,8988,2.0675864827034593,11.531598513011152,66.82527881040892
Johor,P.164 Pontian,42831,42752,79,871,13727,86.3,950,49630,6799,2.218019658658448,6.920667298025789,49.53012311502877
Johor,P.165 Tanjung Piai,45622,45537,85,918,5457,87.9,1003,51902,6280,2.198500723335233,18.38006230529595,115.08154663734653
W.P. Labuan,P.166 Labuan,19377,19356,21,207,6625,79.2,228,24465,5088,1.1766527326211487,3.4415094339622643,76.8
Sabah,P.167 Kudat,36421,36355,66,919,12376,77.1,985,47238,10817,2.7044836769995335,7.958952811893988,87.40303813833225
Sabah,P.168 Kota Marudu,33125,33077,48,911,842,78.5,959,42197,9072,2.8950943396226414,113.89548693586697,1077.4346793349168
Sabah,P.169 Kota Belud,43502,43423,79,1109,5095,84.5,1188,51481,7979,2.7309089237276445,23.316977428851814,156.6045142296369
Sabah,P.170 Tuaran,40849,40760,89,807,5190,84.6,896,48284,7435,2.1934441479595583,17.263969171483623,143.2562620423892
Sabah,P.171 Sepanggar,43500,43416,84,1167,9442,81.5,1251,53374,9874,2.875862068965517,13.249311586528279,104.5753018428299
Sabah,P.172 Kota Kinabalu,39548,39488,60,506,18959,78.3,566,50508,10960,1.4311722463841408,2.9853895247639644,57.80895616857429
Sabah,P.173 Putatan,29936,29760,176,665,9507,79.9,841,37466,7530,2.809326563335115,8.846113390133587,79.20479646576207
Sabah,P.174 Penampang,36882,36818,64,719,10216,83.2,783,44329,7447,2.12298682284041,7.664447924823806,72.89545810493344
Sabah,P.175 Papar,33262,33194,68,499,10535,85.8,567,38766,5504,1.7046479466057363,5.382059800664452,52.244897959183675
Sabah,P.176 Kimanis,23170,23128,42,453,5723,87.0,495,26632,3462,2.1363832542080274,8.64930980255111,60.49274855844836
Sabah,P.177 Beaufort,26000,25950,50,559,672,86.4,609,30092,4092,2.342307692307692,90.625,608.9285714285714
Sabah,P.178 Sipitang,24387,24329,58,539,9469,83.6,597,29171,4784,2.4480255874031247,6.304784032104763,50.522758475023764
Sabah,P.179 Ranau,31458,31396,62,666,3611,80.6,728,39029,7571,2.3141967067200713,20.160620326779284,209.66491276654668
Sabah,P.180 Keningau,36144,36098,46,555,3918,82.7,601,43704,7560,1.6627932713590083,15.339458907605922,192.95558958652376
Sabah,P.181 Tenom,20944,20926,18,632,3886,82.8,650,25294,4350,3.1035141329258975,16.72671127123006,111.94029850746267
Sabah,P.182 Pensiangan,21391,21379,12,483,1744,81.7,495,26182,4791,2.3140573138235707,28.383027522935777,274.7133027522936
Sabah,P.183 Beluran,18915,18914,1,552,9988,76.6,553,24693,5778,2.923605604017975,5.536643972767321,57.8494193031638
Sabah,P.184 Libaran,32119,32016,103,713,11586,80.8,816,39751,7632,2.5405523210560728,7.042982910409114,65.87260486794408
Sabah,P.185 Batu Sapi,23400,23356,44,574,3798,77.5,618,30193,6793,2.641025641025641,16.27172195892575,178.8572933122696
Sabah,P.186 Sandakan,27923,27889,34,525,1088,75.3,559,37082,9159,2.00193388962504,51.37867647058824,841.8198529411765
Sabah,P.187 Kinabatangan,19997,19960,37,654,9731,80.8,691,24748,4751,3.455518327749162,7.1010173671770636,48.82334806289179
Sabah,P.188 Lahad Datu,39663,39606,57,1077,13387,76.8,1134,51644,11981,2.859087814840027,8.47090460894898,89.49727347426608
Sabah,P.189 Semporna,31595,31523,72,985,20905,76.0,1057,41572,9977,3.3454660547554993,5.056206649127003,47.725424539583834
Sabah,P.190 Tawau,39787,39658,129,789,4979,77.2,918,51537,11750,2.3072862995450776,18.43743723639285,235.9911628841133
Sabah,P.191 Kalabakan,36230,36132,98,1027,14221,77.4,1125,46808,10578,3.1051614683963566,7.910836087476268,74.38295478517685
Sarawak,P.192 Mas Gading,20384,20353,31,224,2156,79.1,255,25769,5385,1.2509811616954474,11.827458256029685,249.76808905380335
Sarawak,P.193 Santubong,29286,29207,79,394,20936,79.1,473,37024,7738,1.6151061940859115,2.2592663354986624,36.96025983951089
Sarawak,P.194 Petra Jaya,38170,37996,174,321,21443,76.7,495,49765,11595,1.2968299711815563,2.3084456465979573,54.07359044909761
Sarawak,P.195 Bandar Kuching,40879,40825,54,201,19642,76.6,255,53366,12487,0.623792167127376,1.2982384685877202,63.57295591080339
Sarawak,P.196 Stampin,65515,65383,132,488,18670,77.3,620,84754,19239,0.9463481645424712,3.320835565077665,103.04767005891804
